constraint,standard,success_criteria,applies_to,violation,impact_level,affected_users,remediation,rationale
Keyboard Operability,WCAG 2.2,2.1.1,interactive elements,"Interactive elements do not support keyboard navigation",High,keyboard-only users,"Ensure interactive elements support full keyboard navigation","Keyboard-only users are unable to interact with the application"
Focus Indicators,WCAG 2.2,2.4.7,interactive elements,"Interactive elements do not have visible focus indicators",High,keyboard-only users,"Ensure focus-visible styles are applied to all interactive elements","Without focus indicators, keyboard users lose track of navigation"
Respect Prefers Reduced Motion,Best practice,N/A,Animations,"Transitions or animations are not reduced for users with prefers-reduced-motion",Medium,users with motion sensitivity,"Detect prefers-reduced-motion via media query and reduce or disable animations","Motion-sensitive users may experience discomfort or nausea with excessive animations"
Button States,WCAG 2.2,2.4.6,buttons and links,"Buttons and links do not provide visual feedback on hover/focus",High,all users,"Ensure all buttons and links provide feedback on hover/focus (e.g., change color or background)","Without hover/focus states, users cannot easily understand interactable elements"
Timeouts and Auto-Submit,WCAG 2.2,2.2.1,forms and inputs,"Forms and actions auto-submit without warning",High,users with cognitive impairments,"Provide clear user notifications or cancel options for auto-submitting actions or timeouts","Unexpected timeouts or submissions can confuse or frustrate users"
Tooltip Visibility,WCAG 2.2,2.4.13,tooltips,"Tooltips appear without a way to dismiss them",Medium,users with cognitive impairments,"Ensure tooltips can be dismissed via keyboard or mouse","Tooltips that cannot be dismissed may block content for users with disabilities"
Accessible Error Messages,WCAG 2.2,3.3.1,forms,"Error messages are not easily visible or accessible",High,users with screen readers or cognitive impairments,"Provide clear inline error messages associated with form fields","Users cannot easily identify or correct errors without proper guidance"
Interactive Feedback,Best practice,N/A,interactive elements,"Interactive elements fail to provide feedback when clicked",Medium,all users,"Ensure clickable elements provide immediate feedback (e.g., visual changes or loading indicators)","Without feedback, users are uncertain if their action has been registered"
Multi-step Forms,WCAG 2.2,3.2.2,forms,"Multi-step forms do not provide progress indication",Medium,all users,"Provide clear progress indicators for multi-step forms","Lack of progress information can confuse users and lead to abandonment"
Skip Navigation,WCAG 2.2,2.4.1,all pages,"Users cannot skip repetitive navigation",High,screen reader users and keyboard-only users,"Add a skip navigation link at the top of the page","Screen reader users and keyboard users waste time navigating the same links repeatedly"
Accessible Links,WCAG 2.2,2.4.4,links,"Links do not have clear text or context",High,all users,"Ensure all links have meaningful, descriptive text or aria-labels","Unclear links cause confusion and prevent users from understanding their purpose"
Adjustable Animations,Best practice,N/A,animations,"Users cannot adjust or turn off animation speed",Medium,users with cognitive or motion impairments,"Allow users to adjust or disable animations via settings","Users with sensitivities may find excessive motion distracting or overwhelming"
Modal Accessibility,WCAG 2.2,2.4.3,modals,"Modals do not trap focus or provide escape methods",High,keyboard-only and screen reader users,"Ensure modals trap focus within and provide easy escape via escape key or close button","Users may be trapped in modals, unable to continue navigation or exit"
Drag and Drop Accessibility,WCAG 2.2,2.5.1,drag-and-drop,"Drag-and-drop interactions are not keyboard or screen reader accessible",High,screen reader and keyboard users,"Provide alternative ways to interact with drag-and-drop features (e.g., buttons for each action)","Without alternatives, drag-and-drop interactions are unusable for many users"
Focusable Elements,WCAG 2.2,2.4.3,interactive elements,"Focusable elements are not accessible via keyboard",High,keyboard-only users,"Ensure all interactive elements are reachable via keyboard navigation (tabindex)","Keyboard-only users cannot interact with non-focusable elements"
Accessible Controls,WCAG 2.2,4.1.2,forms and controls,"Form controls lack accessible names",High,screen reader users,"Use <label> or aria-label to provide accessible names for form controls","Users cannot understand or interact with form controls without accessible names"
Testable State Changes,Best practice,N/A,state changes,"State changes are not announced to screen readers",High,screen reader users,"Use ARIA live regions or other mechanisms to announce state changes dynamically","State changes such as selections or updates must be communicated for screen reader users"
