No,niche_id,application_types,Product Type,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes
1,portfolio,design-portfolio;photography;creative-studio;gallery,Photography Portfolio,#FFFFFF,#FAFAFA,#000000,#FFFFFF,#000000,#000000,Extreme Minimalism: High-contrast white and black.
2,portfolio,design-portfolio;photography;creative-studio;gallery,Minimalist Portfolio,#000000,#262626,#2563EB,#FFFFFF,#000000,#F5F5F5,Swiss Style: Heavy black type + Blue link.
3,portfolio,design-portfolio;photography;creative-studio;gallery,Architectural Firm,#64748B,#94A3B8,#EA580C,#FFFFFF,#334155,#E2E8E0,Industrial Minimalism: Slate grays with safety orange.
4,marketing,landing-page,Digital Book Reader,#18181B,#52525B,#9D174D,#FAFAFA,#0A0A0A,#E4E4E7,Minimalism: E-reader focus with subtle burgundy link.
5,fintech,financial-dashboard;trading-platform;crypto-wallet,Financial Services App,#BFDBFE,#93C5FD,#1D4ED8,#F8FAFC,#0F172A,#FFFFFF,Glassmorphism (Frosted): Translucent blue layers.
6,industrial,iot-control-panel;monitoring-system;factory-dashboard,Hardware Interface (IoT),#1F2937,#374151,#3B82F6,#1F2937,#F3F4F6,#1F2937,Neumorphism (Dark): Embossed UI for industrial control.
7,marketing,landing-page,High-Performance Sportswear,#000000,#171717,#BE123C,#F5F5F5,#0A0A0A,#D4D4D8,Modern Brutalism: Piano black and high-speed red.
8,saas,web-app;productivity-tool;project-management,Personal Productivity Tool,#E0E5EC,#CBD0D6,#007AFF,#E0E5EC,#333333,#FFFFFF,Neumorphism (Soft UI): Monochrome with soft depth.
9,ecommerce,storefront;product-grid;marketplace,Retro Gaming Marketplace,#06B6D4,#F43F5E,#FACC15,#1F2937,#F8FAFC,#475569,80s Neon Aesthetic: Vibrant cyan and magenta on slate.
10,dashboard;saas;fintech,analytics;admin-panel;data-visualization;monitoring;web-app;productivity-tool;project-management;financial-dashboard;trading-platform;crypto-wallet,SaaS Security Dashboard,#1E293B,#334155,#818CF8,#0F172A,#F1F5F9,#FFFFFF,Glassmorphism (Dark): Translucent security panels.
11,blog;medical,blog;editorial;article;magazine;patient-portal;wellness-app;health-dashboard,Space Exploration News,#0C4A6E,#075985,#FACC15,#0F172A,#E0F2FE,#0C4A6E,Glassmorphism (Space): Dark deep-blue frosted panels.
12,ecommerce,storefront;product-grid;marketplace,Streetwear Boutique,#000000,#FACC15,#FF0000,#FFFFFF,#000000,#000000,Hard Brutalism: Yellow highlights and red warnings.
13,fintech,financial-dashboard;trading-platform;crypto-wallet,Web3 / Crypto Exchange,#000000,#FFFFFF,#FF0000,#FFFF00,#000000,#000000,Brutalist UI: Stark contrast with heavy black outlines.
14,saas,web-app,Coding / IDE Extension,#4F46E5,#6366F1,#14B8A6,#0F172A,#E0E7FF,#1E1B4B,Developer Dark Mode: Indigo with code-friendly teal.
15,portfolio;fintech,design-portfolio;photography;creative-studio;gallery;financial-dashboard;trading-platform;crypto-wallet,Crypto Portfolio (Pro),#F59E0B,#D97706,#10B981,#020617,#F8FAFC,#1E293B,Amber Value + Trading Success Green.
