"application_type","keywords","visual_style","landing_page","dashboard_layout","color_palette","essential_ux","ui_style_bias"
"SaaS (General)","saas, software, platform, app, tool, product, subscription, web app, cloud, service","Clean and confident with restrained use of color. Prioritize whitespace and visual hierarchy over decoration. Typography should feel modern-professional - not startup-playful, not enterprise-heavy. Avoid gradients, rounded-everything, and illustration-heavy styles that date quickly. The interface should feel like a tool people trust with daily work: calm, structured, and visually quiet so content and data can breathe. Density should be medium - not as sparse as a marketing site, not as packed as a trading terminal.","Hero section leads with the core value proposition in one sentence, not a feature list. Below the fold: three benefits (not features), each with a concrete outcome. Social proof section uses logos or a single compelling testimonial, not a wall of quotes. CTA is singular and high-contrast - never compete with secondary actions above the fold. Pricing section shows 2-3 tiers max with the recommended tier visually emphasized. Footer carries trust signals: security badges, compliance logos, support availability. Avoid: carousels, auto-playing videos, multiple competing CTAs, and hero images that say nothing about the product.","Left sidebar navigation with collapsible groups - keep top-level items concise and grouped logically. Main content area uses a 12-column grid with card-based sections for key metrics at the top. Tables and lists dominate the content area with consistent sort, filter, and search patterns. Right panel or modal for detail views - avoid full-page navigations that break context. Breadcrumbs for nested views. Status indicators use semantic colors consistently (green/amber/red). Empty states are helpful, not decorative - tell users what to do, not just that nothing is here. Avoid: tab overload, deeply nested navigation, dashboard widgets users cannot customize or dismiss.","Use a single primary brand color at 10-15% surface coverage - it should anchor the interface without overwhelming it. CTAs get the highest-saturation variant of the primary or a complementary accent; everything else stays neutral. Background is near-white or very light gray, never pure white (too clinical) or tinted (dates fast). Text is near-black on light backgrounds with at least 4.5:1 contrast ratio. Semantic colors are reserved strictly for meaning: green for success, amber for warnings, red for errors and destructive actions - never use these as decorative accents. Dark mode inverts the luminance scale but keeps the same hue relationships; do not introduce new colors in dark mode. Avoid: using brand color for large background fills, rainbow status systems, low-contrast placeholder text, or gray-on-gray interactive elements.","Every action that modifies data needs a clear undo path or confirmation step - especially delete, bulk operations, and settings changes. Provide feedback for any operation exceeding 100ms - use skeleton screens for content areas, spinners only for discrete actions. Error messages appear inline next to the field that caused them, not in toast notifications that disappear before users read them. Forms should use a hybrid validation approach: validate format constraints on blur, validate complex rules on submit with an error summary linking to each field. Never clear a form after a validation error. Session timeout must warn before expiring and preserve unsaved work. Navigation should never lose unsaved changes without warning. Search must be forgiving: handle typos, partial matches, and return useful empty states. Keyboard shortcuts for power users, but never as the only path to an action. Onboarding should be progressive - reveal complexity as users demonstrate readiness, not in an upfront tutorial users will skip. Avoid: modals on top of modals, disabled buttons without explanation, pagination when infinite scroll fits, and confirmation dialogs for non-destructive actions.","Structured, professional, and calm UI; emphasizes whitespace, card grids, and restrained color. Focus on clarity and confidence over flair."
"Micro SaaS","micro saas, indie saas, niche tool, lightweight app, solo founder, small business, b2b tool, subscription","Utility-first and intentionally simple. Visual design should prioritize clarity and speed over polish. Use a small, consistent set of components with minimal layering. Typography should be readable and neutral, leaning friendly but never playful. Visual hierarchy must be obvious at a glance. Avoid complex visual systems, decorative motion, gradients, or brand-heavy styling that suggests scale or process overhead the product does not have.","The hero must immediately answer three questions: what this does, who it is for, and what problem it replaces. Use a concrete example or screenshot, not abstract messaging. Below the fold: a short 'how it works' section (3 steps max), followed directly by pricing. Pricing must be visible without interaction. Social proof should be lightweight but credible (usage counts, indie testimonials, integrations). Use a single primary CTA focused on immediate use, not commitment. Avoid: long narratives, hidden pricing, multiple personas, or sales-oriented language.","Many Micro SaaS products should not start with a dashboard. Default entry point should be the core workflow or output. Navigation must be shallow and obvious - ideally 3-5 primary destinations. Favor single-column or simple two-column layouts. Defaults matter more than customization; preconfigure sensible states. Inline actions and immediate feedback are preferred over multi-step flows. Empty states must demonstrate value using examples or sample data. Avoid: settings-first experiences, feature toggles, permission models, or dashboards that require setup before usefulness.","Use a neutral base with one accent color to guide attention. Brand color should be reserved for primary actions only. Backgrounds should be light and unobtrusive. Contrast must meet accessibility standards, but the system can be simpler than enterprise SaaS. Semantic colors should be limited to success, warning, and error states only. Dark mode is optional and should not be implemented unless user demand is clear. Avoid: loud palettes, over-branding, or color systems more complex than the product itself.","Time-to-value is the primary UX constraint. Users should reach a meaningful result within minutes. Anything that does not directly support the core use case should be deferred or removed. Onboarding should be implicit: sample data, defaults, and guided empty states outperform tutorials. Errors must be reversible and non-punitive. Performance issues are trust-breaking at this scale. Documentation should be short, searchable, and optional. Avoid: mandatory onboarding flows, configuration before value, hidden complexity, or UX patterns that assume team-based usage.","Simple, lightweight UI; emphasizes immediacy, clarity, and functional hierarchy. Minimalist components, single accent color, and fast entry points for core workflows."
"E-commerce","buy, commerce, ecommerce, products, retail, sell, shop, store","Vibrant, structured, and conversion-focused. Prioritize clarity and affordances over decoration. Use card blocks, modular layouts, and clear hierarchy. Typography should feel approachable but professional. Avoid overly complex motion, excessive layering, or inconsistent grids.","Hero highlights the core product assortment and key benefit in one glance. Below the fold: curated product categories with imagery, short 'how it works', and visible pricing. Social proof via reviews, ratings, or usage counts. Single high-contrast CTA for shopping or exploration. Avoid: long narrative storytelling, hidden pricing, or multiple conflicting CTAs.","Grid-first product showcase layout with 2-4 column modular cards. Sidebar or top navigation with 5-7 key categories max. Filters, sort, and search are always visible and predictable. Quick-add actions inline. Use dedicated product detail pages for spec-driven products; quick-view modals only for visually-driven products where browsing continuity matters. Avoid: deeply nested menus, dashboards for shopping, or hidden product states.","Primary brand color plus one accent; background light and neutral to make products pop. Semantic colors for sale, stock, and error states only. Contrast meets accessibility standards. Dark mode optional but should not conflict with product imagery. Avoid complex or decorative palettes that compete with products.","Seamless browsing and conversion. Quick feedback on selection, hover, and cart. Loading states minimal but visible. Error states actionable. Checkout flow should minimize form fields (target 8, average sites use 11+); reduce fields before reducing steps. Avoid: slow-loading elements, hidden states, or multi-step surprises.","Bold, modular UI; emphasizes product cards, visual hierarchy, and actionable CTAs. Slightly playful yet professional to reinforce engagement and conversions."
"E-commerce Luxury","buy, commerce, ecommerce, elegant, exclusive, high-end, luxury, premium, products, retail, sell, shop, store","Opulent, refined, and aspirational. Layouts emphasize spaciousness, premium imagery, and smooth motion. Typography is high-contrast, elegant, and readable. Avoid clutter, garish colors, or overly technical layouts. Prioritize a curated, sophisticated visual hierarchy.","Hero presents one flagship product or collection with strong lifestyle photography. Below the fold: limited curated categories, subtle storytelling, visible pricing tiers. Social proof via select testimonials or brand logos only. Single high-salience CTA for shopping or inquiry. Avoid generic banners, hero carousels, or busy product grids.","Wide card-based grids with generous whitespace. Minimal navigation (3-5 top items). Filters and sorting subtly integrated. Quick-look modals for product details. Avoid dense dashboards or feature lists; focus on luxury perception and curated selections.","Neutral background with rich primary color accents and one secondary accent. Typography color mostly near-black or dark gray. Semantic colors used sparingly for feedback. Contrast maintained for readability and premium feel. Avoid bright or garish palettes that conflict with imagery or brand tone.","Browsing must feel effortless and elegant. Hover and selection feedback is subtle. Checkout or inquiry flows should reinforce confidence and sophistication. Avoid aggressive upsells, cluttered modals, or complex menus. Product discovery should feel curated, not overwhelming.","Sophisticated, high-end UI; emphasizes luxury through spacious layouts, premium imagery, and restrained accent usage. Elegant motion and typography reinforce exclusivity."
"Service Landing Page","appointment, booking, consultation, conversion, landing, marketing, page, service","Hero-focused and trust-oriented. Layouts prioritize clarity, hierarchy, and confidence. Typography is approachable and readable. Avoid decorative excess or unnecessary motion.","Hero prominently communicates service value and benefit at a glance. Below the fold: social proof, testimonials, brief steps on how service works, and clear CTA for booking. Avoid hidden actions, long narratives, or multiple competing CTAs.","Single-column or simple two-column layout. Quick access to booking and essential info. Inline forms and immediate feedback. Avoid complex multi-step forms or dashboards for booking.","Brand primary with supportive neutral tones. Accent color only for primary CTAs. Semantic colors for validation or alerts only. Avoid decorative palettes or competing colors that distract from CTAs.","Booking and contact flow must be immediate and forgiving. Form errors are inline and reversible. Visual feedback is consistent and immediate. Avoid ambiguous states or hidden instructions.","Clean, approachable UI; emphasizes trust, clear CTAs, and immediate recognition of service value."
"Analytics Dashboard","admin, analytics, dashboard, data, panel","Data-dense and precise. Use clear hierarchy, semantic alerts, and heat maps. Avoid decorative motion or clutter.","Dashboard presents key metrics instantly. Filters, search, and sort always visible. Inline drill-down actions. Avoid hidden KPIs or multi-step setup before value.","Grid and card layouts for data. Drill-downs and comparisons inline. Shallow navigation (3–5 items). Empty states instructive. Avoid nested dashboards or opaque workflows.","Use single-hue lightness gradients or two-hue diverging scales for data visualization - avoid rainbow/cool-to-hot gradients which are perceptually misleading and inaccessible for color-blind users. Neutral backgrounds with semantic colors for status. Ensure all data meaning is conveyed through shape, label, or position in addition to color.","Accuracy, real-time feedback, and data clarity paramount. Use progressive disclosure to manage complexity - surface key metrics first, drill-down on demand. Provide annotation and comparison tools for context. Errors, loading, and updates immediate. Undo paths for data changes. Support data export for offline analysis. Empty states should explain what data is expected and how to populate it. Avoid misleading displays or hiding interactive controls.","High-contrast, data-focused UI with semantic alerts and heatmaps"
"Healthcare App","app, clinic, health, healthcare, medical, patient","Accessible, calm, and empathetic. Use high-contrast components with generous spacing and readable typography. Avoid clutter, overwhelming visuals, or low-contrast decorative styles like neumorphism that compromise accessibility.","Hero communicates purpose, target patient, and key action. Include simplified workflow explanation. Social proof via patient feedback or certifications. CTA singular, visible, clear. Avoid complex flows or hidden info.","Simple, shallow navigation (3–5 items). Modular cards or sections for tasks, patient info, or appointments. Inline feedback. Avoid deep dashboards or multi-step setup before usefulness.","Calm blues, health greens, neutral backgrounds. Semantic colors for alerts only. Avoid aggressive or high-saturation accents.","Accessibility is mandatory - meet WCAG AA minimum with AAA preferred for text. Use plain language; avoid medical jargon without inline definitions. Communicate privacy and data handling clearly in the UI. Error prevention for clinical data entry: input masks, real-time validation, and confirmation steps for actions affecting patient records. Present health metrics with contextual reference ranges, not raw numbers. Screen reader compatibility, scalable text, and keyboard navigation are non-negotiable. Avoid confusing layouts, hidden controls, or patterns that increase cognitive load for stressed users.","Accessible, calm UI with high-contrast components and patient-focused clarity"
"Educational Platform","app, course, education, learning, school, training","Interactive and structured with clear hierarchy. For K-12 and casual learning: use playful micro-interactions and vibrant blocks. For professional training and LMS: use clean, professional aesthetics with mobile-first design and brand customization. In all cases, minimize cognitive load and avoid clutter, overly complex flows, or inconsistent spacing.","Hero communicates platform purpose, audience, and benefits. Include 3-step 'how it works' section. Visible CTAs for enrollment or exploration. Social proof via usage counts or testimonials. Avoid hidden info or conflicting CTAs.","Card or block grid layout. Navigation shallow (3–5 items). Inline actions and previews. Default states preconfigured. Empty states provide guidance. Avoid dashboards before value delivered.","Clear, learner-appropriate palette. For K-12: playful accent colors that support engagement. For professional: restrained, brand-aligned tones. Background light, primary accent for CTAs only. Semantic colors for feedback. Avoid competing or decorative palettes.","Engagement and age-appropriate clarity. Feedback on correct/incorrect actions must be immediate and meaningful. Onboarding works best via sample content and contextual hints rather than forced tutorials, though hybrid approaches may suit complex platforms. Ensure scalable text and assistive navigation. Avoid hidden complexity or UI mechanics that compete with learning time.","Structured, learner-focused UI with clear progression cues and minimal cognitive load"
"Creative Portfolio","creative, agency, design, marketing, studio, portfolio","Bold, expressive, motion-driven. Prioritize hierarchy and attention guidance. Use retro-futurism or brutalism cues. Avoid clutter, inconsistent motion, or generic visuals.","Hero showcases portfolio or key work; immediately communicates value. Highlight case studies or featured work. CTA singular, focused on inquiry or hire. Social proof via client logos or press mentions. Avoid generic hero graphics or conflicting CTAs.","Grid or modular layouts with 2–3 columns. Shallow navigation (3–5 items). Hover interactions highlight work. Avoid deeply nested menus or dashboards unrelated to showcasing work.","Bold primary colors and accent, neutral backgrounds for content clarity. Semantic colors for feedback only. Avoid over-branding or decorative palettes.","Differentiation key. Highlight work clearly. Hover and selection feedback obvious. Avoid clutter or confusing motion.","Bold, expressive UI with motion and portfolio-focused layout"
"Personal Portfolio","creative, personal, portfolio, projects, showcase, work","Minimalist and motion-driven. Clear hierarchy, readable typography, uncluttered layout. Avoid excessive decoration or complex navigation.","Hero communicates identity and purpose. Portfolio items immediately visible. Optional storytelling section. Single primary CTA (contact or hire). Avoid hidden work or unrelated info.","Single-column or simple two-column layouts. Modular project cards. Inline previews. Shallow navigation (2–4 items). Empty states show examples. Avoid dashboards or hidden complexity.","Primary brand/accent color to highlight projects. Neutral background. Semantic colors for feedback. Avoid decorative colors competing with work.","Focus on personality and clarity. Actions, hover, and feedback states obvious. Onboarding minimal. Avoid forced tutorials or multi-step complexity.","Minimal, motion-driven UI emphasizing projects and personality"
